%Channels,1,
%Samples,6163,
%Date,3/6/2015,
%Time,11:55:06,
%Y_Unit_Label,Angle (deg),
%X_Dimension,Time (s),
%X0,55:06.4,
%Delta_X,0.02,
%***End_of_Header***,,
%X_Value,03/06/2015 11:55:02 AM - Angular - Dev1_ctr0,Comment
21.48,-35.64,
21.5,-34.416,
21.52,-33.048,
21.54,-31.5,
21.56,-29.808,
21.58,-27.936,
21.6,-25.992,
21.62,-23.904,
21.64,-21.708,
21.66,-19.44,
21.68,-17.028,
21.7,-14.616,
21.72,-12.096,
21.74,-9.468,
21.76,-6.84,
21.78,-4.212,
21.8,-1.512,
21.82,1.188,
21.84,3.888,
21.86,6.552,
21.88,9.216,
21.9,11.736,
21.92,14.292,
21.94,16.812,
21.96,19.224,
21.98,21.492,
22,23.724,
22.02,25.776,
22.04,27.72,
22.06,29.556,
22.08,31.248,
22.1,32.688,
22.12,34.056,
22.14,35.244,
22.16,36.252,
22.18,37.116,
22.2,37.8,
22.22,38.304,
22.24,38.628,
22.26,38.772,
22.28,38.736,
22.3,38.484,
22.32,38.088,
22.34,37.512,
22.36,36.72,
22.38,35.82,
22.4,34.74,
22.42,33.48,
22.44,32.04,
22.46,30.492,
22.48,28.764,
22.5,26.892,
22.52,24.912,
22.54,22.824,
22.56,20.592,
22.58,18.252,
22.6,15.84,
22.62,13.32,
22.64,10.8,
22.66,8.208,
22.68,5.616,
22.7,2.916,
22.72,0.288,
22.74,-2.376,
22.76,-4.968,
22.78,-7.596,
22.8,-10.152,
22.82,-12.744,
22.84,-15.192,
22.86,-17.568,
22.88,-19.872,
22.9,-21.996,
22.92,-24.12,
22.94,-26.1,
22.96,-27.936,
22.98,-29.7,
23,-31.248,
23.02,-32.688,
23.04,-33.984,
23.06,-35.136,
23.08,-36.072,
23.1,-36.864,
23.12,-37.476,
23.14,-37.908,
23.16,-38.16,
23.18,-38.268,
23.2,-38.16,
23.22,-37.908,
23.24,-37.476,
23.26,-36.864,
23.28,-36.072,
23.3,-35.1,
23.32,-33.984,
23.34,-32.688,
23.36,-31.248,
23.38,-29.628,
23.4,-27.9,
23.42,-26.064,
23.44,-24.048,
23.46,-21.924,
23.48,-19.728,
23.5,-17.46,
23.52,-15.156,
23.54,-12.744,
23.56,-10.152,
23.58,-7.632,
23.6,-5.04,
23.62,-2.448,
23.64,0.144,
23.66,2.772,
23.68,5.436,
23.7,7.992,
23.72,10.512,
23.74,12.996,
23.76,15.48,
23.78,17.784,
23.8,20.124,
23.82,22.248,
23.84,24.336,
23.86,26.28,
23.88,28.08,
23.9,29.772,
23.92,31.284,
23.94,32.652,
23.96,33.876,
23.98,34.92,
24,35.82,
24.02,36.54,
24.04,37.08,
24.06,37.44,
24.08,37.62,
24.1,37.656,
24.12,37.512,
24.14,37.152,
24.16,36.648,
24.18,35.964,
24.2,35.1,
24.22,34.092,
24.24,32.904,
24.26,31.608,
24.28,30.132,
24.3,28.512,
24.32,26.712,
24.34,24.804,
24.36,22.752,
24.38,20.664,
24.4,18.432,
24.42,16.092,
24.44,13.716,
24.46,11.232,
24.48,8.712,
24.5,6.156,
24.52,3.636,
24.54,1.08,
24.56,-1.548,
24.58,-4.104,
24.6,-6.66,
24.62,-9.18,
24.64,-11.664,
24.66,-14.076,
24.68,-16.452,
24.7,-18.72,
24.72,-20.844,
24.74,-22.896,
24.76,-24.84,
24.78,-26.676,
24.8,-28.368,
24.82,-29.988,
24.84,-31.392,
24.86,-32.76,
24.88,-33.876,
24.9,-34.848,
24.92,-35.64,
24.94,-36.288,
24.96,-36.756,
24.98,-37.044,
25,-37.188,
25.02,-37.152,
25.04,-36.936,
25.06,-36.54,
25.08,-35.964,
25.1,-35.244,
25.12,-34.344,
25.14,-33.3,
25.16,-32.076,
25.18,-30.672,
25.2,-29.16,
25.22,-27.504,
25.24,-25.74,
25.26,-23.832,
25.28,-21.816,
25.3,-19.692,
25.32,-17.496,
25.34,-15.264,
25.36,-12.888,
25.38,-10.404,
25.4,-7.956,
25.42,-5.472,
25.44,-2.916,
25.46,-0.396,
25.48,2.16,
25.5,4.716,
25.52,7.236,
25.54,9.72,
25.56,12.132,
25.58,14.508,
25.6,16.812,
25.62,19.044,
25.64,21.168,
25.66,23.22,
25.68,25.236,
25.7,26.928,
25.72,28.62,
25.74,30.132,
25.76,31.5,
25.78,32.688,
25.8,33.732,
25.82,34.632,
25.84,35.388,
25.86,35.928,
25.88,36.324,
25.9,36.576,
25.92,36.612,
25.94,36.468,
25.96,36.18,
25.98,35.712,
